"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"249";2;5;7;9;10;12;12;12;12
"250";2;5;7;9;10;12;12;12;12
"251";2;5;7;9;10;12;12;12;12
"252";2;5;7;9;10;12;12;12;12
"253";2;5;7;9;10;12;12;12;12
"254";2;5;7;9;10;12;12;12;12
"255";2;5;7;9;10;12;12;12;12
"256";2;5;7;9;10;12;12;12;12
"257";2;5;7;9;10;12;12;12;12
"258";2;5;7;9;10;12;12;12;12
"259";2;5;7;9;10;12;12;12;12
"260";2;5;7;9;10;12;12;12;12
"261";2;5;7;9;10;12;12;12;12
"262";2;5;7;9;10;12;12;12;12
"263";2;5;7;9;10;12;12;12;12
"264";2;5;7;9;10;12;12;12;12
"265";2;5;6;6;6;6;6;6;18
"266";2;5;6;6;6;6;6;6;18
"267";2;5;7;9;10;12;12;12;12
"268";2;5;7;9;10;13;15;17;17
"269";2;5;7;9;10;13;15;17;17
"270";2;5;7;9;10;13;15;17;17
"271";2;5;6;6;6;6;6;6;18
"272";2;5;7;9;10;12;12;12;12
"273";2;5;7;9;10;13;15;16;16
"274";2;5;7;9;10;13;15;17;17
"275";2;5;7;9;10;13;15;16;16
"276";2;5;7;9;10;13;15;17;17
"277";2;5;7;9;10;13;15;17;17
"278";2;5;7;9;10;13;15;17;17
"279";2;5;7;9;10;13;15;17;17
"280";2;5;7;9;10;13;15;17;17
"281";2;5;7;9;10;13;15;16;16
"282";2;5;7;9;10;13;15;16;16
"283";2;5;7;9;10;13;15;17;17
"284";2;5;7;9;10;13;15;17;17
"285";2;5;7;9;10;13;15;17;17
"286";2;5;7;9;10;13;15;17;17
"287";2;5;7;9;10;13;15;17;17
"288";2;5;7;9;10;13;15;17;17
"289";2;5;7;9;10;13;15;17;17
"290";2;5;7;9;10;13;15;17;17
"291";2;5;7;9;10;13;15;17;17
"292";2;5;7;9;10;13;15;17;17
"293";2;5;7;9;10;13;15;17;17
"294";2;5;7;9;10;13;15;17;17
"295";2;5;7;9;10;13;15;17;17
"296";2;5;7;9;10;13;15;17;17
"297";2;5;7;9;10;13;15;17;17
"298";2;5;7;9;10;13;15;16;16
"299";2;5;7;9;10;13;15;16;16
"300";2;5;7;9;10;13;15;17;17
"301";2;5;7;9;10;13;15;17;17
