"";"classe 1";"classe 2";"classe 3"
"signal";1;0,662;0,712
"scroll";0,043;1;1
"scottish";1;1;0
"safety";1;0,41;1
"return";0,008;1;1
"profit";1;0,662;0,712
"north";1;0,41;1
"nonconsensual";1;1;0,007
"newsguard";1;0,001;1
"mrbeast";0,003;1;1
"misuse";1;0,017;1
"license";0,28;0,93;1
"late";0,043;1;1
"language";1;0,003;1
"lady";1;1;0,001
"investigation";1;0,056;1
"increasingly";1;0,056;1
"host";1;0,057;0,958
"full";0,28;0,93;1
"footage";0,043;1;1
"follow";0,877;1;0,712
"financial";1;0,93;0,97
"fight";1;0,005;1
"event";1;0,057;1
"enact";1;1;0,001
"eli";0,001;1;1
"edit";1;0,01;1
"dozen";0,496;1;0,958
"donald";1;1;0,007
"difficult";1;0,18;1
"detail";0,28;0,93;1
"deceptive";1;0,901;0,07
"cybersecurity";1;0;1
"country";1;1;0,007
"cost";0,043;1;1
"computer";1;0,93;0,97
"colleague";1;0,159;1
"chief";1;0,017;1
"bring";0,277;1;0,712
"break";1;0,41;1
"body";1;1;0,007
"bipartisan";1;1;0,067
"author";0,043;1;1
"apple";0,277;0,662;1
"affect";0,877;1;0,712
"york";0,003;1;1
"wednesday";1;0,056;1
"web";1;0,017;1
"violation";1;1;0,184
"violate";1;1;0,001
"urge";1;1;0,004
"turn";0,877;0,159;1
"truth";0,28;0,93;1
"thousand";1;0,18;1
"test";0,11;1;1
"telegram";1;1;0,001
"talk";0,579;1;1
"suffer";1;1;0,004
"step";1;0,18;1
"spend";0,008;1;1
"specific";1;1;0,012
"space";1;0,017;1
"software";1;0,18;1
"situation";1;1;0,448
"serve";1;1;0,004
"separate";1;1;0,022
"seoul";1;1;0,004
"senator";1;1;0,012
"screen";0,008;1;1
"scotland";1;1;0,001
"scene";0,11;1;1
"san";0,043;1;1
"revenge";1;1;0,202
"reporter";0,043;1;1
"reality";1;0,017;1
"protest";0,043;1;1
"prohibit";1;1;0,022
"process";0,28;0,93;1
"private";1;0,93;0,202
"pop";0,579;1;0,448
"personal";0,11;1;1
"participate";1;1;0,067
"park";0,008;1;1
"page";0,277;0,662;1
"order";1;1;0,012
"option";0,11;1;1
"opt";0,003;1;1
"nicole";0,022;1;1
"naked";1;1;0,067
"mr";0,277;1;0,712
"monday";1;1;0,022
"matter";1;0,41;1
"machine";1;0,01;1
"low";1;0,93;0,97
"listen";0,28;1;0,97
"life";0,022;1;1
"lawyer";1;0,93;0,97
"lawmaker";1;1;0,004
"june";1;0,41;1
"jersey";1;1;0,067
"invite";0,003;1;1
"implement";0,877;1;0,184
"humiliate";1;1;0,004
"home";0,043;1;1
"hear";1;1;0,022
"head";0,008;1;1
"hate";0,579;1;1
"global";1;0,017;1
"gain";0,28;1;0,97
"fully";0,003;1;1
"francisco";0,043;1;1
"fool";1;0,056;1
"fan";0,008;1;1
"fabricate";0,277;0,662;1
"extend";0,877;1;0,712
"enter";1;0,93;0,97
"educate";1;1;0,022
"dr";0,579;0,41;1
"dollar";1;0,159;0,712
"disinformation";1;0,017;1
"criminal";1;1;0,004
"couple";0,28;0,93;1
"convincingly";1;0,93;0,202
"convince";1;0,01;1
"community";0,277;0,662;1
"citizen";1;1;0,001
"choose";0,043;1;1
"china";0,579;0,41;1
"check";1;0,017;1
"chat";0,877;0,662;1
"charge";1;0,41;1
"brewster";1;0,003;1
"brand";0,28;0,93;1
"book";0,579;0,41;1
"berry";1;1;0,004
"background";1;0,41;1
"authentic";1;0,01;1
"ap";0,877;0,662;1
"alongside";1;0,93;0,97
"adult";1;0,41;1
"accept";0,877;1;0,712
"weatherbed";0,008;1;1
"voter";1;0,93;0,202
"violent";0,579;1;0,448
"violence";0,579;1;0,448
"type";0,579;0,41;1
"twitter";1;0,41;1
"track";1;0,93;0,97
"thursday";1;1;0,004
"temporarily";1;0,93;0,97
"talent";0,008;1;1
"style";0,022;1;1
"studio";0,11;1;1
