"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"well";0,631023849572137;-0,101223575458702;0,98737714341091;-0,158386794492822;NA;NA;NA;NA;NA;0,403935888739411;NA
"see";0,0235960019702705;0,0998862066313834;0,229901200649301;0,973213973358382;NA;NA;NA;NA;NA;0,0564940775928666;NA
"look";0,179814539548596;0,736868091299703;0,237068938052397;0,971492829932732;NA;NA;NA;NA;NA;0,417740730325826;NA
"just";0,860990080261766;0,166989921352937;0,981706032112565;0,190402905738867;NA;NA;NA;NA;NA;0,553516013322209;NA
"2024";-1,35850786100774;0,307041409493999;-0,975397547673039;0,220453224048597;NA;NA;NA;NA;NA;0,877583370654075;NA
"through";0,631023849572137;-0,101223575458702;0,98737714341091;-0,158386794492822;NA;NA;NA;NA;NA;0,403935888739411;NA
"someone";-0,00446368905211106;-0,63250423426298;-0,00705699291880066;-0,999975099115445;NA;NA;NA;NA;NA;0,344970822015961;NA
"non";-1,44120935335878;-0,517065244657757;-0,941255290794335;-0,337695835851838;NA;NA;NA;NA;NA;0,956420403720149;NA
"get";0,127693318730087;-0,936329143117128;0,135125746107229;-0,9908284577761;NA;NA;NA;NA;NA;0,5170410796063;NA
"2025";0,526878157853253;-0,525878165237581;0,707778128766649;-0,706434795603657;NA;NA;NA;NA;NA;0,440322646454601;NA
"two";0,139738037943267;-0,0445209561076085;0,952809764651194;-0,303568035842603;NA;NA;NA;NA;NA;0,0918773978972642;NA
"still";0,302500662872666;-0,484385713761042;0,529696187141765;-0,848187449404597;NA;NA;NA;NA;NA;0,326474197272853;NA
"seen";0,635385425249996;0,586035754732139;0,735076618246764;0,677984045023849;NA;NA;NA;NA;NA;0,514287776751022;NA
"many";1,02026701569395;-0,426868243999711;0,922511914663531;-0,385968609220784;NA;NA;NA;NA;NA;0,687585358209231;NA
"few";1,44494523788565;-1,33488484354749;0,734527414869517;-0,678579012941827;NA;NA;NA;NA;NA;1,17028898359605;NA
"better";0,179814539548596;0,736868091299703;0,237068938052397;0,971492829932732;NA;NA;NA;NA;NA;0,417740730325826;NA
"1";0,330217642889776;0,457504202380234;0,58525517553413;0,810849171862755;NA;NA;NA;NA;NA;0,325739229747453;NA
"very";-0,583831845631596;0,300995988721469;-0,888829401174794;0,458238252012267;NA;NA;NA;NA;NA;0,404982935896566;NA
"too";-1,50369676839011;-0,771857998525085;-0,889641682538812;-0,456659256655892;NA;NA;NA;NA;NA;1,04231467780024;NA
"several";-1,19998284458918;-0,872412889570128;-0,808832871522819;-0,588038592223462;NA;NA;NA;NA;NA;0,897445864605818;NA
"mean";0,179814539548596;0,736868091299703;0,237068938052397;0,971492829932732;NA;NA;NA;NA;NA;0,417740730325826;NA
"help";-0,46583553665351;-0,289033431849221;-0,849726681603588;-0,527223450323441;NA;NA;NA;NA;NA;0,334824839135169;NA
"during";-0,00241381473196361;0,797201025926728;-0,00302784816962449;0,999995416057225;NA;NA;NA;NA;NA;0,434785294650653;NA
"don_t";0,565999307816551;1,64206347277966;0,325872601032739;0,945413691405068;NA;NA;NA;NA;NA;0,964802584540505;NA
"come";-0,489039384253506;0,48152043153556;-0,712563373804375;0,701607752460394;NA;NA;NA;NA;NA;0,406367865060045;NA
"believe";0,401057618882507;-0,36943707227034;0,735506815713256;-0,677517323792792;NA;NA;NA;NA;NA;0,324460807576067;NA
"become";-0,184695381467497;-0,749422972926376;-0,239290269728014;-0,970948076270556;NA;NA;NA;NA;NA;0,425174232258828;NA
"ask";0,778519235794744;-0,838760351172064;0,680296394807518;-0,732937115455272;NA;NA;NA;NA;NA;0,673033933916712;NA
"we_re";-0,283025638949235;-0,257731789117468;-0,739373207167555;-0,673295819475187;NA;NA;NA;NA;NA;0,227965946293429;NA
"under";-0,83029224521463;-0,16836756259517;-0,980053017461788;-0,1987362145258;NA;NA;NA;NA;NA;0,534453349286301;NA
"then";0,239288354491549;-0,168298524169602;0,81795050346067;-0,575288600520153;NA;NA;NA;NA;NA;0,177339653412001;NA
"off";0,804529052496979;-1,53607517046741;0,463969999187946;-0,885850912881811;NA;NA;NA;NA;NA;0,980869493003189;NA
"both";-0,0747342555114678;0,591577390440291;-0,125334308967535;0,992114565458864;NA;NA;NA;NA;NA;0,326100163984666;NA
"3";0,787242387150463;0,535758309209617;0,826714770714598;0,562621265046309;NA;NA;NA;NA;NA;0,578433929849596;NA
"10";0,833499798772759;-0,16826016948873;0,980226230104941;-0,19788010969841;NA;NA;NA;NA;NA;0,536447172720369;NA
"000";0,217661512694112;0,160852972364691;0,804224311643228;0,594325884142678;NA;NA;NA;NA;NA;0,16354386188251;NA
"u";-0,731327231854203;1,03853276443483;-0,575760794073276;0,817618192072627;NA;NA;NA;NA;NA;0,732034827180594;NA
"once";0,401057618882507;-0,36943707227034;0,735506815713256;-0,677517323792792;NA;NA;NA;NA;NA;0,324460807576067;NA
"often";-0,589647279868741;-0,615349784866319;-0,69186687184489;-0,722025090729932;NA;NA;NA;NA;NA;0,502430812546;NA
"much";-0,154939469547816;-0,62809309013241;-0,239502810338509;-0,970895670934811;NA;NA;NA;NA;NA;0,356364974553413;NA
"anyone";-0,165134806485848;0,334547846082245;-0,442620831728246;0,89670887099448;NA;NA;NA;NA;NA;0,210371571311072;NA
"allow";0,231887385408038;0,949195386189142;0,237319670484869;0,971431610562964;NA;NA;NA;NA;NA;0,538156970410459;NA
"within";0,290436079215552;0,183715509514681;0,84511796596919;0,534579857080398;NA;NA;NA;NA;NA;0,209662664681029;NA
"why";-1,19624435115102;-0,283333463692264;-0,973078019326036;-0,23047596036142;NA;NA;NA;NA;NA;0,7741431107188;NA
"think";0,428547900371515;-0,0341869814286734;0,996833161307047;-0,0795213714582348;NA;NA;NA;NA;NA;0,272390189231557;NA
"never";0,290436079215552;0,183715509514681;0,84511796596919;0,534579857080398;NA;NA;NA;NA;NA;0,209662664681029;NA
"going";-0,0747342555114678;0,591577390440291;-0,125334308967535;0,992114565458864;NA;NA;NA;NA;NA;0,326100163984666;NA
"example";0,622300698216419;-1,47574223584038;0,388553117429279;-0,921426326374491;NA;NA;NA;NA;NA;0,89638350249642;NA
"currently";0,450540125562721;0,23401309124466;0,887432594450188;0,460937512367357;NA;NA;NA;NA;NA;0,312908287368007;NA
"yet";0,401057618882507;-0,36943707227034;0,735506815713256;-0,677517323792792;NA;NA;NA;NA;NA;0,324460807576067;NA
"went";0,511679158549463;-0,922589654055362;0,485012170925394;-0,874507400800151;NA;NA;NA;NA;NA;0,598712339816415;NA
"there_s";1,0909563109514;0,435203418164575;0,928822450279801;0,370525108266938;NA;NA;NA;NA;NA;0,731383716000127;NA
"taken";-0,731327231854203;1,03853276443483;-0,575760794073276;0,817618192072627;NA;NA;NA;NA;NA;0,732034827180594;NA
"something";0,759940795293149;-0,340678337389675;0,912502501733713;-0,409071123803324;NA;NA;NA;NA;NA;0,516473149636274;NA
"since";1,00245907921783;0,877725483592592;0,752363241173789;0,658748475011874;NA;NA;NA;NA;NA;0,7957656858411;NA
"might";-0,0135608790329211;1,09605023419616;-0,0123715508542807;0,999923469436266;NA;NA;NA;NA;NA;0,597832744241228;NA
"far";0,365712971253784;-0,800472903352483;0,415555328305122;-0,909567902422476;NA;NA;NA;NA;NA;0,494339289925609;NA
"best";1,17945354268496;-0,00731864726344222;0,99998074881725;-0,00620499757384772;NA;NA;NA;NA;NA;0,747927151867457;NA
"around";-0,549167293587181;-1,08788765609522;-0,450639353831422;-0,892706095407889;NA;NA;NA;NA;NA;0,687966378262612;NA
"4";-0,436336459408988;-0,436540786991893;-0,70694123863567;-0,707272284990911;NA;NA;NA;NA;NA;0,365022160183561;NA
"second";1,40701785285698;-1,14523252979263;0,775565932907937;-0,631266571040033;NA;NA;NA;NA;NA;1,08911626939087;NA
"saying";0,778519235794744;-0,838760351172064;0,680296394807518;-0,732937115455272;NA;NA;NA;NA;NA;0,673033933916712;NA
"must";-0,83029224521463;-0,16836756259517;-0,980053017461788;-0,1987362145258;NA;NA;NA;NA;NA;0,534453349286301;NA
"likely";-1,04376430701085;-0,235431004901808;-0,975492722784595;-0,220031697249051;NA;NA;NA;NA;NA;0,674212693810604;NA
"different";1,0909563109514;0,435203418164575;0,928822450279801;0,370525108266938;NA;NA;NA;NA;NA;0,731383716000127;NA
"contain";1,31219939028531;-0,671101745405468;0,890318605633319;-0,455338094675971;NA;NA;NA;NA;NA;0,909033922475231;NA
"available";-0,154939469547816;-0,62809309013241;-0,239502810338509;-0,970895670934811;NA;NA;NA;NA;NA;0,356364974553413;NA
"across";1,0909563109514;0,435203418164575;0,928822450279801;0,370525108266938;NA;NA;NA;NA;NA;0,731383716000127;NA
"what_s";0,825464615750703;1,76276961444863;0,42408271369601;0,905623460354372;NA;NA;NA;NA;NA;1,09465342178856;NA
